channel_id,ec_timestamp,tx_estimated_bw_kbps,rx_estimated_bw_kbps,wan_circuit_tx_cir_kbps,wan_circuit_rx_cir_kbps,tx_kbps,rx_kbps
EUT_3,2024-03-08 22:18:00.000 +0530,49000,11000,98000,22000,949.1745929,950.3058795
EUT_3,2024-03-08 22:17:00.000 +0530,49000,11000,98000,22000,949.8371363,966.1794698
EUT_3,2024-03-08 22:16:00.000 +0530,49000,11000,98000,22000,945.3516501,975.1533893
STL_1,2024-03-08 22:54:00.000 +0530,378.1944444,6248,96,12496,233.6160007,942.5839945
STL_1,2024-03-08 22:53:00.000 +0530,412.7361111,6248,96,12496,232.8976291,1133.275107
STL_1,2024-03-08 22:52:00.000 +0530,337.25,6254.326923,96,12496,231.5636937,796.5323158
STL_1,2024-03-08 22:51:00.000 +0530,420,6468.90625,96,12496,232.5588334,1387.963
STL_1,2024-03-08 22:50:00.000 +0530,347.6875,6248,96,12496,231.3232002,468.1555984
STL_1,2024-03-08 22:49:00.000 +0530,419.6778846,6248,96,12496,233.3886155,290.1353833
STL_1,2024-03-08 22:48:00.000 +0530,394.77,6248,96,12496,232.6787201,248.4355206
STL_1,2024-03-08 22:47:00.000 +0530,410.6276596,6248,96,12496,232.4520851,258.181787
STL_1,2024-03-08 22:46:00.000 +0530,418.8194444,6248,96,12496,231.6173325,248.4355554
STL_1,2024-03-08 22:45:00.000 +0530,378.6296296,6248,96,12496,233.137777,281.7871116
STL_1,2024-03-08 22:44:00.000 +0530,414.1730769,6248,96,12496,230.8233854,280.578463
STL_1,2024-03-08 22:43:00.000 +0530,392.9,6248,96,12496,232.3585605,246.6431985
STL_1,2024-03-08 22:42:00.000 +0530,416,6248,96,12496,231.2682658,911.1199931
STL_1,2024-03-08 22:41:00.000 +0530,386.285,6248,96,12496,231.4063998,1215.315355
STL_1,2024-03-08 22:40:00.000 +0530,416,6248,96,12496,230.5939992,473.3093287
STL_1,2024-03-08 22:39:00.000 +0530,403.734375,6248,96,12496,232.5718333,673.9413331
STL_1,2024-03-08 22:38:00.000 +0530,427.25,6248,96,12496,231.3493322,284.029335
STL_1,2024-03-08 22:37:00.000 +0530,400.9509804,6248,96,12496,233.4379611,306.2447073
STL_1,2024-03-08 22:36:00.000 +0530,398.2708333,6248,96,12496,229.9413338,267.982001
STL_1,2024-03-08 22:35:00.000 +0530,390.4298246,6248,96,12496,232.5169116,276.7023133
STL_1,2024-03-08 22:34:00.000 +0530,426,6248,96,12496,231.2677648,238.7985894
STL_1,2024-03-08 22:33:00.000 +0530,399.4875,6248,96,12496,233.3830671,619.9725248
STL_1,2024-03-08 22:32:00.000 +0530,419,6248,96,12496,231.2010012,300.3380003
STL_1,2024-03-08 22:31:00.000 +0530,382.8244046,6248,96,12496,232.3287138,302.5421442
